internship_title,company_name,location,start_date,duration,stipend,Skills,Interests
Sales & Marketing (Field Sales),SYG EDTECH PVT LTD,Hyderabad,Immediately,3 Months,"₹ 8,000 /month",Python,Web 3.0
Content Writing,IELTS Proficiency,Work From Home,Immediately,3 Months,"₹ 4,000-7,000 /month",Cloud Computing,Web 3.0
Research & Analysis (Mutual Fund),WNU Investment Services,Bangalore,Immediately,3 Months,"₹ 5,000 /month",Python,Augmented Reality
Sales And Marketing,Strategized Consulting,Work From Home,Immediately,3 Months,"₹ 4,000 /month +  Incentives",Python,Open Source
Marketing,OTO Capital,Bangalore,Immediately,3 Months,"₹ 20,000 /month",Embedded Systems,IoT
UX/UI Design,BharatPOS,Work From Home,Immediately,3 Months,"₹ 1,500 /month",Networking,Game Development
Business Management,The House Of Intuition,Work From Home,Immediately,3 Months,"₹ 12,000 /month",C++,Blockchain
Academic Counseling,Eurodreams Eduverseas Private Limited,Indore,Immediately,3 Months,"₹ 5,000 /month",Web Development,Cybersecurity
Content Writing,Hawk Ecommerce,Gurgaon,Immediately,3 Months,"₹ 15,000 /month",Data Analysis,Blockchain
Marketing & Project Management,Shriram Polytech Limited,Gurgaon,Immediately,3 Months,"₹ 10,000 /month",Database Management,IoT
Graphic Design,Setner,Work From Home,Immediately,3 Months,"₹ 10,000-12,000 /month",UI/UX Design,Robotics
Business Development (Sales),Wolf Communication Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Python,Data Science
Business Development (Sales),Euro Dreams Eduverseas Private Limited,Indore,Immediately,3 Months,"₹ 5,000 /month",Networking,Data Science
Metaverse(Game) Development,DataToBiz,Work From Home,Immediately,3 Months,"₹ 8,000-12,000 /month",UI/UX Design,IoT
Content Creation,NeoDove Technologies Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month",UI/UX Design,Augmented Reality
Event Management,Million Dreams,Bangalore,Immediately,3 Months,"₹ 6,000 /month",UI/UX Design,Quantum Computing
Graphic Design,Pepper Money,Mumbai,Immediately,3 Months,"₹ 10,000-15,000 /month",Cybersecurity,IoT
Academic Counseling,The Ikigai Lab,Noida,Immediately,3 Months,"₹ 15,000-20,000 /month",Data Analysis,Space Tech
Finance,Sanctity YTT,Gurgaon,Immediately,3 Months,"₹ 5,000 /month",Cloud Computing,Cybersecurity
MIS Management,Valueonshore Advisory Services Private Limited,Gurgaon,Immediately,3 Months,"₹ 15,000 /month",Database Management,Cybersecurity
Research,SocioLadder,Work From Home,Immediately,3 Months,"₹ 8,000-15,000 /month",Data Analysis,Game Development
Content Writing,Travluk Holidays Private Limited,Gurgaon,Immediately,3 Months,"₹ 17,000 /month",UI/UX Design,Robotics
Business Development,ViewFindr Films,Bangalore,Immediately,3 Months,"₹ 8,000 /month",Cloud Computing,AI
E-Commerce Business Management,Wellbeing Aacharya,Mumbai,Immediately,3 Months,"₹ 12,000-15,000 /month",Java,Quantum Computing
Project Management,Narayana Group,Hyderabad,Immediately,3 Months,"₹ 15,000 /month",Java,Augmented Reality
Media & Public Relations (PR),Aparna Mishra,Mumbai,Immediately,3 Months,"₹ 12,000-15,000 /month",UI/UX Design,Game Development
Web Development,Instawings India Private Limited,Bangalore,Immediately,3 Months,"₹ 10,000 /month",Networking,Space Tech
Data Entry,Karan Parikh,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Python,Blockchain
Social Media Marketing,Dot eVentures Private Limited,Hyderabad,Immediately,3 Months,"₹ 10,000 /month",UI/UX Design,Game Development
Equity Analysis,CAPITOL FINTRADE,Gurgaon,Immediately,3 Months,"₹ 10,000-15,000 /month",Embedded Systems,Game Development
Customer Care,SOL,Delhi,Immediately,3 Months,"₹ 10,000 /month",Networking,Blockchain
Market Research,Coboticca Automation Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Networking,Open Source
Social Media Marketing,Heptarc Technology,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Java,Cybersecurity
Leather Merchandising,Lumens India,Kolkata,Immediately,3 Months,"₹ 5,000-10,000 /month",Machine Learning,Augmented Reality
Business Development (Sales),Just Signs India Private Limited,Bangalore,Immediately,3 Months,"₹ 8,500 /month +  Incentives",Networking,Web 3.0
SEO Content Writing,Ganguram Sweets,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Java,Space Tech
Personal Assistant To The Founder,Eager Beavers Preschool,Mumbai,Immediately,3 Months,"₹ 12,000-16,000 /month",Cloud Computing,Robotics
Digital Marketing,Karwa Marketing Private Limited,Delhi,Immediately,3 Months,"₹ 12,000 /month",Database Management,Game Development
Marketing,Artizence,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Networking,Web 3.0
Content Writing,Zype,Mumbai,Immediately,3 Months,"₹ 10,000 /month",Embedded Systems,Space Tech
Content Development (Architecture),Kubo Architecture Studio,Jabalpur,Immediately,3 Months,"₹ 5,000 /month",Cybersecurity,Open Source
Node.js Development,Cube,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Machine Learning,Robotics
Digital Marketing,Anu Mishra,Delhi,Immediately,3 Months,"₹ 5,000 /month",Data Analysis,Cybersecurity
Claims Management,Elite Insurance Surveyors And Loss Assessors,Vashi,Immediately,3 Months,"₹ 5,000-15,000 /month",Database Management,Game Development
Digital Marketing,Arena Infosolution,Jaipur,Immediately,3 Months,"₹ 5,000-10,000 /month",Machine Learning,Open Source
Web Development,Relinns Technologies,Mohali,Immediately,3 Months,"₹ 10,000 /month",Cloud Computing,Augmented Reality
Software Training,Vinsup Infotech (P) Ltd,Madurai,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Web Development,Data Science
Management Consultant,TRESBON CONSULTING PRIVATE LIMITED,Mumbai,Immediately,3 Months,"₹ 10,000 /month",Database Management,Blockchain
Electrical And Electronics Engineering,Pro India,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Database Management,Blockchain
AI/Computer Vision/AI Automation Development,CodeTest Pvt Ltd,Hyderabad,Immediately,3 Months,"₹ 10,000-15,000 /month",Cloud Computing,AI
Search Engine Optimization (SEO),SKW Investment Adviser,Bangalore,Immediately,3 Months,"₹ 5,000-7,000 /month",Machine Learning,Data Science
Business Development (Sales),Skillarena Education Technologies,Work From Home,Immediately,3 Months,"₹ 10,000 lump sum +  Incentives",C++,Cybersecurity
Business Development (Sales),Client Care Group,Jaipur,Immediately,3 Months,"₹ 10,000 /month",C++,Web 3.0
Human Resources (HR),CrossIdentity,Bangalore,Immediately,3 Months,"₹ 2,000 lump sum",Machine Learning,Web 3.0
Human Resources (HR),Braindezvous Infotech Private Limited,Noida,Immediately,3 Months,"₹ 10,000 /month",Data Analysis,Cybersecurity
Video Making/Editing,Red Maple Media,Chennai,Immediately,3 Months,"₹ 5,000-8,000 /month",C++,Quantum Computing
Creative Writing,Best For Him,Gurgaon,Immediately,3 Months,"₹ 10,000 /month",Python,IoT
Digital Marketing,Exceed Manpower Consultants,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month",Embedded Systems,AI
Business Development (Sales),Nerdy Academy,Mumbai,Immediately,3 Months,"₹ 15,000-50,000 /month",C++,Robotics
Remote Learning Coordination,DataSkience OPC Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Networking,Augmented Reality
Video Editing,DataSkience OPC Private Limited,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Machine Learning,Open Source
Embedded Systems,Mohd Aman Ansari,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Machine Learning,Cybersecurity
Social Media Marketing,The Drugstore Company,Noida,Immediately,3 Months,"₹ 3,000-5,000 /month",Python,Blockchain
Python Development,A Plus Topper,Work From Home,Immediately,3 Months,"₹ 4,000-5,000 /month",Machine Learning,AI
Sales And Marketing,IT Finisher,Work From Home,Immediately,3 Months,"₹ 3,000-5,000 /month",Python,AI
Human Resources (HR),Admission Bridge,Delhi,Immediately,3 Months,"₹ 12,000 /month",Database Management,Web 3.0
Graphic Design,CarStream,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Java,IoT
UX/UI Design,Liveasy,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Embedded Systems,Quantum Computing
Computer Science Expert,HaZZten,Work From Home,Immediately,3 Months,"₹ 10,000-20,000 /month",Java,Open Source
Sales And Marketing,Edzu Edtech,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",Cybersecurity,Game Development
Social Media Markerting,Edzu Edtech,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",UI/UX Design,IoT
Lead Generation,Edzu Edtech,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",UI/UX Design,Quantum Computing
IT Assessment Development,Cognitio Eduventures Private Limited,Work From Home,Immediately,2 Months,"₹ 15,000 /month",Cloud Computing,Open Source
Front End Development,"Arnifi (Dubai, United Arab Emirates)",Work From Home,Immediately,2 Months,"₹ 15,000 /month",Python,Cybersecurity
Social Media Marketing,Blackcoffer,Work From Home,Immediately,2 Months,"₹ 5,000 /month",Cybersecurity,Web 3.0
Application Testing,Blackcoffer,Work From Home,Immediately,2 Months,"₹ 6,000-10,000 /month",Python,Space Tech
Graphic Design,FormsADDA,Work From Home,Immediately,2 Months,"₹ 5,000 /month",Networking,IoT
Recruitment Consultant,Ample Leap Cognition & Technologies Private Limited,Lucknow,Immediately,2 Months,"₹ 8,000-12,000 /month",Java,Quantum Computing
Medical Writing (Insurance-Medical),MediDigest System Private Limited,Thane,Immediately,2 Months,"₹ 16,000 /month",Java,Web 3.0
Relationship Trainee,Whitefield Careers,Bangalore,Immediately,2 Months,"₹ 5,000 /month",Database Management,Robotics
Python Full Stack Development,Blackcoffer,Work From Home,Immediately,2 Months,"₹ 8,000-12,000 /month",Machine Learning,Cybersecurity
Operations,Filo,Gurgaon,Immediately,2 Months,"₹ 7,000 /month",Machine Learning,Augmented Reality
Doubt Solving (Physical Chemistry),Himanshi Sharma,Work From Home,Immediately,2 Months,"₹ 5,000-6,000 /month",UI/UX Design,AI
Event Management,"Edzu Edtech (Ghaziabad, India)",Vadodara,Immediately,2 Months,"₹ 2,000 /month +  Incentives",Java,Robotics
LinkedIn Marketing,Edzu Edtech,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",Database Management,Open Source
E-commerce (Product Listing),Rustic Home,Work From Home,Immediately,2 Months,"₹ 3,000 /month",Data Analysis,Augmented Reality
Video Editing (Canva),Idea Rise,Work From Home,Immediately,2 Months,"₹ 20,000 /month",Embedded Systems,AI
Lead Generation,Burhan Digital,Work From Home,Immediately,2 Months,"₹ 1,000 /month +  Incentives",UI/UX Design,Robotics
Lead Collection Analysis,DigitoMentors,Work From Home,Immediately,2 Months,"₹ 24,000 lump sum",Web Development,AI
Architecture,Studio0522,Lucknow,Immediately,2 Months,"₹ 6,000 /month",Cloud Computing,Game Development
UI/UX Design,Skimbox Digital Marketing Company,Bangalore,Immediately,2 Months,"₹ 15,000 /month",Embedded Systems,AI
Social Media,BeMyCharm,Work From Home,Immediately,2 Months,"₹ 5,500 /month",UI/UX Design,IoT
Digital Marketing Executive,Kalonia Ventures,Delhi,Immediately,2 Months,"₹ 8,000 /month +  Incentives",Web Development,AI
Interior And Architecture,Builten Architecture,Noida,Not specified,2 Months,"₹ 10,000 /month",UI/UX Design,Space Tech
LinkedIn Profile Handling,Top Talent Bridge,Work From Home,Immediately,2 Months,"₹ 5,000 /month",Data Analysis,IoT
Fashion Design,Limerick By Abirr N' Nanki,Gurgaon,Immediately,2 Months,"₹ 10,000 /month",Java,Augmented Reality
Graphic Design And Video Editing,Oshikka Lumb,Delhi,Immediately,2 Months,"₹ 10,000 /month",Machine Learning,Open Source
Lead Generation - WhatsApp Group Scrapping,Top Talent Bridge,Work From Home,Immediately,2 Months,"₹ 5,000 /month",Web Development,Data Science
Marketing,Ananya Fashion House,Noida,Immediately,2 Months,"₹ 10,000 /month",Database Management,Quantum Computing
Video Editing,Invest In Mind,Work From Home,Immediately,2 Months,"₹ 20,000 /month",Networking,Game Development
Graphic Design,UnTold Media,Work From Home,Immediately,2 Months,"₹ 7,000 /month",Python,Game Development
HR Consultant,Primo Integrated Services Private Limited,Delhi,Immediately,2 Months,"₹ 5,000 /month +  Incentives",Machine Learning,AI
Technical Project Coordination,Applore Technologies,Noida,Immediately,2 Months,"₹ 10,000-25,000 /month",Web Development,IoT
3D Modeler/Texture Artist,Indigenous Robotics Unmanned Systems Private Limited,Noida,Immediately,2 Months,"₹ 15,000 /month",Cloud Computing,Web 3.0
Content Development (English),We The People,Gurgaon,Immediately,2 Months,Unpaid,Python,Quantum Computing
Graphic Design,GreenDumbells,Bhubaneswar,Immediately,2 Months,"₹ 2,000-5,000 /month",Web Development,Robotics
Content & E-Commerce Management,Heed Consulting,Bangalore,Immediately,2 Months,"₹ 20,000 /month",Database Management,Cybersecurity
Content & E-Commerce Management,The Human Capital,Work From Home,Immediately,2 Months,"₹ 15,000 /month",Java,Robotics
Video & Graphic Design,Fabunora,Work From Home,Immediately,2 Months,"₹ 5,000 /month",Machine Learning,Cybersecurity
Lead Generation,Adecho Technologies,Work From Home,Immediately,3 Months,"₹ 5,000-8,000 /month",Data Analysis,AI
Business Development (Sales),Tranzmeo IT Solutions Private Limited,Kakkanad,Immediately,3 Months,"₹ 2,000-5,000 /month",Database Management,Robotics
Freelance Graphic Design,Mohshina Shah,Work From Home,Immediately,3 Months,"₹ 2,500 /month",Networking,Blockchain
Business Development (Sales),Reach Skyline,Hyderabad,Immediately,3 Months,"₹ 8,000 /month +  Incentives",Data Analysis,Robotics
E Commerce Management,The Peppy Tend,Mumbai,Immediately,3 Months,"₹ 6,000 /month",Python,Robotics
"Business Development (sales and purchase), Communication And Coordination With Stakeholders",Manish Agarwal,Work From Home,Immediately,3 Months,"₹ 5,000-10,000 /month",Data Analysis,IoT
Digital Marketing,EdConnexions Private Limited,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Cybersecurity,Cybersecurity
Computer Operator,Sparsh Pharmaceuticals,Guwahati,Immediately,3 Months,"₹ 14,000 /month",Cloud Computing,IoT
Social Media Marketing,Bombay Blokes,Mumbai,Immediately,3 Months,"₹ 7,500 /month",Java,IoT
Business Development (Sales),Matrix Infotech Solution,Work From Home,Immediately,3 Months,"₹ 6,000-12,000 /month",C++,AI
Zoho Creator Development,Dinakar Krishna,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Cloud Computing,Blockchain
Graphic Design,Engage Infinity,Work From Home,Immediately,3 Months,"₹ 5,000-10,000 /month",Cybersecurity,AI
Human Resources (HR),Auriv Learning,Work From Home,Immediately,3 Months,"₹ 15,000 /month",Embedded Systems,Augmented Reality
Human Resources (HR),Afreen Sarkar,Mumbai,Immediately,3 Months,"₹ 3,000 /month",Embedded Systems,Game Development
Architecture,Bhavini Manot,Mumbai,Immediately,3 Months,"₹ 5,000-7,000 /month",Machine Learning,Web 3.0
Audio Making/Editing,Anurag Aggarwal,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Java,Quantum Computing
Social Media Marketing,Story Digital,Delhi,Immediately,3 Months,"₹ 10,000 /month",Cybersecurity,Data Science
Clothing Design For Christian Charity Clothing Brand,AltaSierra,Work From Home,Immediately,3 Months,"₹ 3,000-60,000 /month",Python,Open Source
Quality Assurance,Rizzle,Hyderabad,Immediately,3 Months,"₹ 7,000-10,000 /month",Python,Augmented Reality
Social Media Marketing,UnfoldSelf,Ghaziabad,Immediately,3 Months,"₹ 8,000 /month",Networking,Quantum Computing
Human Resources (HR),TalentHome Solutions,Mumbai,Immediately,3 Months,"₹ 8,000 /month",Cybersecurity,AI
Video Making,Top Talent Bridge,Work From Home,Immediately,3 Months,"₹ 5,000 /month",C++,Cybersecurity
Informative Reel Making,Top Talent Bridge,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Python,Augmented Reality
Flutter Development,RF LABS,Work From Home,Immediately,3 Months,"₹ 5,000 /month",C++,Cybersecurity
Marketing,Corizo Edu-Tech,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 /month",Data Analysis,Web 3.0
Sales,ApneeHatti,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Networking,Data Science
Editorial,Web News Observer,Work From Home,Immediately,3 Months,"₹ 7,000 /month",Machine Learning,Augmented Reality
Python Development,CSG Technosol Private Limited,Noida,Immediately,3 Months,"₹ 7,500 /month",C++,Robotics
Videography,Nextsolutions.in,Work From Home,Immediately,3 Months,"₹ 15,000 /month",Cybersecurity,Blockchain
Content Creation,Purushottam Public Trust,Delhi,Immediately,3 Months,"₹ 15,000 /month",C++,IoT
Human Resources (HR),Recruitwire Services,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Machine Learning,Blockchain
Human Resources (HR),Rojgar Bandhu Skilled Manpower Solutions LLP,Jabalpur,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Python,IoT
Fashion Communication,Taruna Jindal Label Private Limited,Delhi,Immediately,3 Months,"₹ 6,000 /month",Java,Space Tech
Key Account Manager,Cars24 Services Pvt Ltd,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Networking,Quantum Computing
Fashion Design And Merchandising,SV Creation,Delhi,Immediately,3 Months,"₹ 5,000 /month",Database Management,Quantum Computing
Insurance Advisory,Aditya Birla Capital Limited (ABCL),Work From Home,Immediately,3 Months,"₹ 15,000 /month +  Incentives",Cybersecurity,Robotics
React Native Development,Technoculture Research,Work From Home,Immediately,3 Months,"₹ 10,000-12,000 /month",Networking,Open Source
Business Development (Sales),Trine Concepts & Events LLP,Work From Home,Immediately,3 Months,"₹ 10,000 /month",C++,Robotics
Social Media Marketing,Rahul Singh,Work From Home,Immediately,3 Months,"₹ 5,000-8,000 /month",Python,Game Development
Web Development,SVADHYAYA,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Cloud Computing,Blockchain
Social Media Marketing,Bluebell Education Academy,Work From Home,Immediately,3 Months,"₹ 3,000 /month +  Incentives",Java,Game Development
Edtech Sales,Expertrons MM,Mumbai,Immediately,3 Months,"₹ 6,000-50,000 /month",Networking,Game Development
Computer Technician,Kuro Gaming,Hyderabad,Immediately,3 Months,"₹ 7,000-15,000 /month",Cloud Computing,Open Source
UI/UX Design,Websiteble Services LLP,Work From Home,Immediately,3 Months,"₹ 3,000-5,000 /month",Web Development,Web 3.0
Sales And Marketing Analyst,Strategized Consulting,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Cybersecurity,IoT
Law/Legal,APS Partners,Delhi,Immediately,3 Months,"₹ 3,500 /month",Networking,Augmented Reality
Social Media Marketing,GAF Clothin,Chennai,Immediately,3 Months,"₹ 5,000-10,000 /month",Data Analysis,AI
Social Media Marketing,Swaraag Fusion,Jaipur,Immediately,3 Months,"₹ 12,000 /month",UI/UX Design,Data Science
Law/Legal,Law Insider,Work From Home,Immediately,3 Months,Unpaid,Networking,Robotics
Digital Marketing,Captivate Marketing Space,Work From Home,Immediately,3 Months,"₹ 2,000 lump sum",Cloud Computing,Data Science
Business Development (Sales),EDZEETA PRIVATE LIMITED,Hyderabad,Immediately,3 Months,"₹ 18,000 /month +  Incentives",Database Management,Quantum Computing
Social Media Marketing,Searckey Marketing And Media,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Data Analysis,Game Development
Digital Marketing,Aastha Pitalia,Bangalore,Immediately,3 Months,"₹ 10,000-20,000 /month",UI/UX Design,Augmented Reality
Digital Marketing,Athira Welfare,Gurgaon,Immediately,3 Months,"₹ 10,000 /month",Machine Learning,Robotics
Sales Growth & Marketing,Flekt,Work From Home,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Cloud Computing,Space Tech
Flutter Development,Ostello India Private Limited,Work From Home,Immediately,3 Months,"₹ 6,000-10,000 /month",Networking,Blockchain
Social Media Marketing,The Antique Treasure,Lucknow,Immediately,3 Months,"₹ 2,000-4,000 /month",Java,Space Tech
UX/UI Design,ForAll A-Tech,Bhopal,Immediately,3 Months,"₹ 3,000 /month",C++,AI
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Cybersecurity,Space Tech
Digital Marketing,Dream Holiday Arcade Pvt Ltd,Ajmer,Immediately,3 Months,"₹ 6,000-10,000 /month",Cloud Computing,AI
Social Media Marketing,Implica Global Corporation,Work From Home,Immediately,3 Months,"₹ 1,000 /month",Networking,Open Source
Flutter Development,Med Cab Care Private Limited,Lucknow,Immediately,3 Months,"₹ 3,000 /month",Web Development,Space Tech
Media & Journalism,Swasthya Plus Network,Work From Home,Immediately,3 Months,"₹ 5,000-20,000 /month",Java,Cybersecurity
Graphic Design,Yog Love,Work From Home,Immediately,3 Months,"₹ 7,000-12,000 /month",Cybersecurity,Open Source
Category Management,Mirraw Online Services Private Limited,Mumbai,Immediately,3 Months,"₹ 6,000-10,000 /month",Machine Learning,Augmented Reality
Social Media Marketing,Connekting Dots,Mumbai,Immediately,3 Months,"₹ 2,000-5,000 /month",Data Analysis,Robotics
Data Entry,Webiniser LTD,Work From Home,Immediately,3 Months,"₹ 10,000-17,000 /month",Java,Quantum Computing
Interior Design,Ajmera Interiors,Mumbai,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Embedded Systems,Robotics
Subject Matter Expert (Real-Time Doubt Solving),LearnAsYouGo Private Limited,Work From Home,Immediately,3 Months,"₹ 6,000-12,000 /month",Cybersecurity,Blockchain
Financial Analytics,Makerble,Work From Home,Immediately,3 Months,"₹ 12,000-15,000 /month",Networking,Robotics
Consultant,Gruworks.com,Work From Home,Immediately,3 Months,"₹ 3,000 /month +  Incentives",Data Analysis,Quantum Computing
Mobile App Development,Goldfinch Technologies,Mumbai,Immediately,3 Months,"₹ 5,000 /month +  Incentives",Database Management,Data Science
Graphic Design,Fabista Solutions Private Limited,Mumbai,Immediately,3 Months,"₹ 7,000-8,000 /month",Data Analysis,IoT
Human Resources (HR),CapitalVia Global Research Limited,Indore,Immediately,3 Months,"₹ 10,000-12,000 /month",C++,Blockchain
UX/UI Design,That's No Moon,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Machine Learning,IoT
Graphic Design And Website Design,Makerble,Work From Home,Immediately,3 Months,"₹ 12,000-15,000 /month",Java,Open Source
Back-link And Content Strategy,Hindustan Global Web Solution,Work From Home,Immediately,3 Months,"₹ 1,000 /month",C++,Web 3.0
Content Writing,Prabhat,Work From Home,Immediately,3 Months,Unpaid,Data Analysis,Open Source
Animated Video Creation,Mohit Agarwal,Work From Home,Immediately,3 Months,"₹ 4,000 /month",Java,Game Development
Content Writing,Daily Tech Suggest,Work From Home,Immediately,3 Months,"₹ 1,500-4,000 /month",Database Management,Web 3.0
Content Writing,WORDINK,Work From Home,Immediately,3 Months,"₹ 4,000 /month",Machine Learning,Quantum Computing
Project Management (MBA),PyCray,Noida,Immediately,3 Months,"₹ 5,000 /month",Cybersecurity,Space Tech
Fullstack App Development,Ikior Services Private Limited,Work From Home,Immediately,3 Months,"₹ 12,000 /month",Data Analysis,Quantum Computing
Marketing Analysis,Strategized Consulting,Work From Home,Immediately,3 Months,"₹ 1,000 /month +  Incentives",Networking,Open Source
Market Research,Floly Private Limited,Noida,Immediately,3 Months,"₹ 7,000-10,000 /month",Cybersecurity,Quantum Computing
Tech Sales,Skooly,Tamil Nadu,Immediately,3 Months,"₹ 15,000-25,000 /month",Networking,Robotics
Graphic Design,House Of Lions,Gurgaon,Immediately,3 Months,"₹ 5,000-10,000 /month",Cybersecurity,Space Tech
"Imaging And Code Development Using IMX477, Rasp Pi Module",Systems Engineering Private Limited,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Embedded Systems,IoT
VoIP Systems Management,Shoaib Sheikh,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Cybersecurity,Cybersecurity
Social Media Marketing,Flavors4All,Mumbai,Immediately,3 Months,"₹ 10,000-10,001 /month",Database Management,Augmented Reality
Business Development (Sales),STAR STAGGER,Work From Home,Immediately,3 Months,"₹ 15,000 /month",Cybersecurity,Open Source
Node Website Development & Payment Gateway Integration,Techecies Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 lump sum",Database Management,AI
Field Sales,MIDIND Industrial Development Limited,Navi Mumbai,Immediately,3 Months,"₹ 7,500 /month",Machine Learning,Open Source
Policy Research,Swasti Associates,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Networking,Quantum Computing
Management,Megamind Consultants Private Limited,South East,Immediately,3 Months,"₹ 10,000-20,000 /month",Cybersecurity,Quantum Computing
Content Writing,Anagha Wiz,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Cybersecurity,Augmented Reality
Flutter Development,Brihat Infotech Private Limited,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Embedded Systems,Blockchain
UI/UX Design,Brihat Infotech Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month",Machine Learning,Space Tech
Digital Marketing,Performship.com,Noida,Immediately,3 Months,"₹ 4,000 /month",Data Analysis,Cybersecurity
Cyber Security Assistance,Webiniser LTD,Work From Home,Immediately,3 Months,"₹ 8,000-24,000 /month",Embedded Systems,Data Science
Commodities Exchange,Team Work Financial Solution Services,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 /month",Cybersecurity,IoT
Marketing,D2CECOMMERCE INDIA PRIVATE LIMITED,Gurgaon,Immediately,3 Months,"₹ 2,000 /month +  Incentives",Web Development,Robotics
Stock Market,Team Work Financial Solution Services,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 lump sum",Database Management,Web 3.0
Finance Management,Team Work Financial Solution Services,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 /month",Database Management,Blockchain
Social Media Management & Graphic Design,Sociobyte,Work From Home,Immediately,3 Months,"₹ 10,000 /month",Data Analysis,Game Development
Inside Sales,People Agile,Work From Home,Immediately,3 Months,"₹ 3,000 /month",Machine Learning,Blockchain
Web Development,Jeevam Health,Bangalore,Immediately,3 Months,"₹ 10,000-20,000 /month",Embedded Systems,Cybersecurity
Finance & Accounting,Aanet Talent Global Solutions,Bangalore,Immediately,3 Months,"₹ 10,000 /month",Web Development,Blockchain
Equity Research,Team Work Financial Solution Services,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 /month",Cloud Computing,Game Development
Equity Analytics,Team Work Financial Solution Services,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 /month",Machine Learning,Space Tech
Finance Research,Team Work Financial Solution Services,Work From Home,Immediately,3 Months,"₹ 1,000-10,000 /month",Embedded Systems,AI
Social Media Marketing,Sunrise Enterprises,Work From Home,Immediately,3 Months,"₹ 5,000 /month +  Incentives",UI/UX Design,Data Science
Lead Generation,Sunrise Enterprises,Work From Home,Immediately,3 Months,"₹ 3,000 /month +  Incentives",Data Analysis,Space Tech
Graphic Design,Rebuilt,Work From Home,Immediately,3 Months,"₹ 5,000 /month",Web Development,Web 3.0
Public Relations,Sunrise Enterprises,Work From Home,Immediately,3 Months,"₹ 8,000 /month +  Incentives",Cloud Computing,IoT
Human Resources (HR),Sunrise Enterprises,Work From Home,Immediately,3 Months,"₹ 12,000 /month +  Incentives",Data Analysis,Cybersecurity
Apparel Design,Back In Time,Work From Home,Immediately,3 Months,"₹ 1,500 /month",Java,Cybersecurity
Social Media,The Brand Palette,Chandigarh,Immediately,3 Months,"₹ 8,000-10,000 /month",Web Development,Space Tech
Search Engine Optimization (SEO),Social Birds,Work From Home,Immediately,3 Months,"₹ 4,000 /month",Data Analysis,Space Tech
Personal Assistant,DigiFloat,Work From Home,Immediately,3 Months,"₹ 6,000-8,000 /month",Database Management,Open Source
Food Photography,Karv Forever By DP Brandmark House,Delhi,Immediately,2 Months,"₹ 10,000 /month",Data Analysis,Space Tech
